,City,Country,Continent,Housing,Cost of Living,Commute,Safety,Healthcare,Education,Environmental Quality,Economy,Taxation,Internet Access,Leisure & Culture,Outdoors,Average Score,Air Quality,Air Quality Level
111,Indianapolis, Indiana,North America,6.266,5.478,4.85875,3.968,6.151333333333332,3.6245,6.1605,6.5145,4.062,5.875500000000001,7.298999999999999,3.965,5.351923611111111,66,Moderate
112,Innsbruck, Austria,Europe,6.708,4.732,6.3740000000000006,8.273,7.884666666666666,4.33,7.366,4.663,2.666,5.0595,4.4245,3.9635,5.537013888888889,19,Good
113,Istanbul, Turkey,Asia,9.1375,8.787,4.06575,6.8935,6.839999999999998,2.1525,3.40475,4.093500000000001,4.323499999999999,3.5005,10.0,5.7435,5.745166666666666,59,Moderate
114,Jacksonville, Florida,North America,6.450000000000001,5.359,1.40575,3.8255,6.199,3.6245,7.12025,6.5145,4.772,6.157500000000001,5.6545000000000005,5.013,5.174625,34,Good
115,Jakarta, Indonesia,Asia,8.671,8.471,3.640000000000001,7.0005,4.183999999999999,1.0275,2.4857500000000003,4.657500000000001,6.266,4.498999999999999,8.146,7.202000000000001,5.520854166666666,129,Unhealthy for Sensitive Groups
116,Johannesburg, South Africa,Africa,8.012,7.575000000000001,3.91575,5.165500000000001,3.6486666666666663,0.7585,4.325500000000001,2.7680000000000007,5.151,2.8375,4.4015,2.9560000000000004,4.292909722222222,96,Moderate
117,Kansas City, Missouri,North America,6.7075,5.844,1.9725000000000004,4.422500000000001,6.4496666666666655,3.6245,7.9765,6.5145,4.062,8.188500000000001,6.674500000000001,4.161500000000001,5.549847222222222,43,Good
118,Karlsruhe, Germany,Europe,7.764499999999998,5.294,4.905499999999999,6.858,8.412,5.2075000000000005,7.7675,5.373500000000001,3.9035,4.5945,3.9865,4.588500000000001,5.721291666666667,43,Good
119,Kathmandu, Nepal,Asia,10.0,9.445,5.348999999999999,8.5055,4.115999999999999,0.0,1.0,4.496,5.513000000000002,2.201,5.039,3.798,4.955208333333334,,
120,Kiev, Ukraine,Europe,9.0845,9.817,5.16075,7.2555,4.850999999999999,0.5,3.6665,1.2755,5.478,6.041499999999999,8.419500000000001,5.348999999999999,5.574895833333333,10,Good
121,Kingston, Jamaica,North America,8.8955,5.937,4.926750000000001,5.5275,6.677999999999999,0.0,3.02025,1.8295,6.073499999999999,4.483499999999999,4.2780000000000005,3.3460000000000005,4.582958333333334,55,Moderate
122,Knoxville, Tennessee,North America,6.975499999999999,6.447000000000001,1.943,5.1295,6.421666666666667,4.212,3.72325,6.5145,4.772,7.092499999999999,4.495500000000001,1.7525,4.956576388888888,32,Good
123,Krakow, Poland,Europe,8.4245,8.509,5.629,8.521500000000001,6.853999999999999,4.6625000000000005,4.802,4.7615,5.097,5.7875,7.839999999999999,4.3085,6.266416666666667,50,Good
124,Kuala Lumpur, Malaysia,Asia,8.663499999999999,8.238,4.37975,5.880999999999999,5.950333333333333,2.527,3.869999999999999,6.339,6.1265,5.4615,7.166,5.738500000000001,5.861756944444444,33,Good
125,Kyoto, Japan,Asia,3.765,0.0,2.5,10.0,9.078666666666669,6.241,6.435,3.7235,6.033,3.712,8.153500000000001,1.6465,5.107347222222224,33,Good
126,Lagos, Nigeria,Africa,7.767,9.098,3.56475,5.999499999999999,2.862333333333333,0.0,1.90725,5.061,6.2155000000000005,1.634,1.3585,3.8245,4.107694444444444,86,Moderate
